system_time,time,pos,curr,angular_pos,position(cm),angular_vel,linear_vel
1751365570.872215,5645.0,-2351.0,516.6,30.141025641025642,3.156360824183592,1.4991930754310305,8.995158452586184
1751365570.8767927,5656.0,-2419.0,516.6,31.012820512820515,3.247654969672526,1.3832446286202154,8.299467771721293
1751365570.8945196,5666.0,-2487.0,516.6,31.884615384615383,3.3389491151614594,1.5215690914822306,9.129414548893383
1751365570.8986294,5677.0,-2555.0,520.21,32.756410256410255,3.430243260650394,1.3832446286202154,8.299467771721293
1751365570.9101882,5688.0,-2623.0,520.21,33.62820512820513,3.521537406139328,1.383244628620221,8.299467771721325
1751365570.9101882,5698.0,-2692.0,520.21,34.51282051282051,3.6141741125913347,1.5439451075334367,9.26367064520062
1751365570.9367726,5708.0,-2761.0,520.21,35.3974358974359,3.706810819043341,1.5439451075334492,9.263670645200694
1751365570.9437973,5719.0,-2830.0,520.21,36.282051282051285,3.799447525495348,1.4035864613940447,8.421518768364269
1751365570.95511,5730.0,-2899.0,520.21,37.166666666666664,3.8920842319473548,1.4035864613940334,8.421518768364201
1751365570.9600744,5740.0,-2968.0,500.78,38.05128205128205,3.9847209383993616,1.5439451075334492,9.263670645200694
1751365570.9775674,5750.0,-3038.0,500.78,38.94871794871795,4.078700205814441,1.5663211235846553,9.39792674150793
1751365570.9922423,5762.0,-3107.0,500.78,39.833333333333336,4.171336912266447,1.286620922944541,7.719725537667245
1751365570.9978728,5772.0,-3177.0,500.78,40.73076923076923,4.265316179681528,1.5663211235846553,9.39792674150793
1751365571.0097241,5782.0,-3247.0,500.78,41.62820512820513,4.359295447096606,1.5663211235846553,9.39792674150793
1751365571.0176725,5792.0,-3318.0,500.78,42.53846153846154,4.4546172754747575,1.5886971396358616,9.532182837815169
1751365571.0307693,5804.0,-3388.0,500.78,43.43589743589744,4.548596542889838,1.3052676029872128,7.831605617923277
1751365571.0417457,5814.0,-3459.0,502.15,44.34615384615385,4.643918371267989,1.5886971396358616,9.532182837815169
1751365571.0498497,5824.0,-3530.0,502.15,45.256410256410255,4.739240199646141,1.5886971396358616,9.532182837815169
1751365571.0623093,5835.0,-3602.0,502.15,46.17948717948718,4.835904588987366,1.4646119597155276,8.787671758293165
1751365571.0654092,5846.0,-3673.0,502.15,47.08974358974359,4.931226417365518,1.4442701269416924,8.665620761650155
1751365571.084254,5856.0,-3745.0,502.15,48.01282051282051,5.027890806706742,1.6110731556870677,9.666438934122406
1751365571.0917633,5866.0,-3817.0,502.15,48.93589743589744,5.124555196047966,1.6110731556870803,9.666438934122482
1751365571.0997312,5877.0,-3889.0,488.57,49.85897435897436,5.22121958538919,1.4646119597155163,8.787671758293097
1751365571.1137629,5888.0,-3961.0,488.57,50.782051282051285,5.317883974730416,1.4646119597155276,8.787671758293165
1751365571.1166646,5898.0,-4034.0,488.57,51.717948717948715,5.415890925034711,1.633449171738274,9.800695030429644
1751365571.131101,5908.0,-4107.0,488.57,52.65384615384615,5.513897875339008,1.6334491717382864,9.800695030429718
1751365571.1461706,5919.0,-4180.0,488.57,53.58974358974359,5.611904825643306,1.4849537924893514,8.909722754936109
1751365571.155596,5929.0,-4253.0,488.57,54.52564102564103,5.709911775947603,1.6334491717382864,9.800695030429718
1751365571.1657407,5940.0,-4326.0,487.99,55.46153846153846,5.807918726251899,1.4849537924893401,8.909722754936041
1751365571.177221,5951.0,-4400.0,487.99,56.41025641025641,5.907268237519268,1.5052956252631748,9.031773751579049
1751365571.189005,5961.0,-4473.0,487.99,57.34615384615385,6.005275187823567,1.6334491717382864,9.800695030429718
1751365571.1980214,5971.0,-4546.0,487.99,58.282051282051285,6.103282138127863,1.6334491717382864,9.800695030429718
1751365571.2103117,5982.0,-4619.0,487.99,59.217948717948715,6.2012890884321585,1.4849537924893401,8.909722754936041
1751365571.2103117,5993.0,-4693.0,487.99,60.166666666666664,6.300638599699529,1.5052956252631748,9.031773751579049
1751365571.2318406,6003.0,-4766.0,478.61,61.1025641025641,6.398645550003827,1.6334491717382864,9.800695030429718
1751365571.233115,6013.0,-4840.0,478.61,62.05128205128205,6.497995061271196,1.6558251877894923,9.934951126736953
1751365571.245687,6025.0,-4913.0,478.61,62.98717948717949,6.596002011575493,1.3612076431152387,8.167245858691432
1751365571.263513,6035.0,-4986.0,478.61,63.92307692307692,6.69400896187979,1.633449171738274,9.800695030429644
1751365571.2664154,6045.0,-5060.0,478.61,64.87179487179488,6.793358473147161,1.6558251877895047,9.934951126737028
1751365571.2767463,6055.0,-5133.0,478.61,65.8076923076923,6.8913654234514565,1.633449171738274,9.800695030429644
1751365571.2928195,6067.0,-5206.0,482.52,66.74358974358974,6.989372373755753,1.3612076431152282,8.16724585869137
1751365571.304241,6077.0,-5278.0,482.52,67.66666666666667,7.086036763096978,1.6110731556870923,9.666438934122553
1751365571.3132005,6087.0,-5351.0,482.52,68.6025641025641,7.184043713401276,1.633449171738274,9.800695030429644
