system_time,time,vt,vFilt,pos,curr
1757419436.4320807,11167.0,10.0,9.59,15119.0,449.9
1757419436.4364548,11181.0,10.0,9.58,15215.0,457.03
1757419436.4560323,11194.0,10.0,9.58,15311.0,457.03
1757419436.4634159,11207.0,10.0,9.57,15406.0,457.03
1757419436.48551,11222.0,10.0,9.54,15501.0,457.03
1757419436.4962883,11235.0,10.0,9.52,15597.0,457.03
1757419436.5124552,11248.0,10.0,9.51,15692.0,452.34
1757419436.525675,11261.0,10.0,9.51,15788.0,452.34
1757419436.5286226,11275.0,10.0,9.52,15884.0,452.34
1757419436.5506077,11288.0,10.0,9.54,15980.0,452.34
1757419436.559865,11301.0,10.0,9.56,16077.0,452.34
1757419436.578823,11316.0,10.0,9.59,16173.0,457.71
1757419436.5905955,11329.0,10.0,9.6,16269.0,457.71
1757419436.5937254,11342.0,10.0,9.59,16364.0,457.71
1757419436.6213126,11356.0,10.0,9.57,16460.0,457.71
1757419436.6322083,11369.0,10.0,9.55,16556.0,457.71
1757419436.6441848,11382.0,10.0,9.55,16652.0,453.52
1757419436.6560528,11397.0,10.0,9.55,16748.0,453.52
1757419436.6718435,11410.0,10.0,9.56,16844.0,453.52
1757419436.686251,11423.0,10.0,9.56,16940.0,453.52
1757419436.6908405,11437.0,10.0,9.57,17036.0,455.37
1757419436.714017,11450.0,10.0,9.58,17133.0,455.37
1757419436.7217844,11463.0,10.0,9.59,17229.0,455.37
1757419436.7415357,11476.0,10.0,9.6,17325.0,455.37
1757419436.7526011,11491.0,10.0,9.59,17420.0,455.37
1757419436.768478,11504.0,10.0,9.55,17515.0,453.52
1757419436.7789469,11517.0,10.0,9.52,17610.0,453.52
1757419436.7892442,11531.0,10.0,9.49,17705.0,453.52
1757419436.8081894,11544.0,10.0,9.47,17799.0,453.52
1757419436.8204007,11557.0,10.0,9.45,17895.0,453.52
1757419436.835958,11572.0,10.0,9.46,17990.0,460.06
1757419436.849396,11585.0,10.0,9.48,18086.0,460.06
1757419436.861899,11598.0,10.0,9.5,18181.0,460.06
1757419436.8683524,11612.0,10.0,9.51,18277.0,460.06
1757419436.8893375,11625.0,10.0,9.53,18372.0,460.06
1757419436.8893375,11638.0,10.0,9.53,18468.0,461.13
1757419436.9165235,11652.0,10.0,9.53,18563.0,461.13
1757419436.9307375,11666.0,10.0,9.52,18658.0,461.13
1757419436.9347298,11679.0,10.0,9.5,18753.0,461.13
1757419436.9561849,11693.0,10.0,9.49,18849.0,458.89
1757419436.9604833,11706.0,10.0,9.48,18943.0,458.89
1757419436.9841726,11719.0,10.0,9.48,19039.0,458.89
1757419436.9968052,11732.0,10.0,9.49,19135.0,458.89
